time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21/Oct/2021:10:00:00,2567408,2567408,2751556,3176600,3241869,8405747,4010565,1400683,8336115,4030992,1400683,2751556,4538968,1572605,4457565,8405747,4929060,2696564,17855988,1492115,4457565,1942169,1572605,2567408,4419848,7172368,4929060,2751556,4538968,2696564,8405747,2168764,2100364,3189505,2936356,2936356,1400683,4457565,17855988,3865724,4457565,8405747,2168764,1572605,6968607,1492115,3162755,3857782,4087082,4030992
21/Oct/2021:10:00:05,3852726,8405747,1875954,5164623,2164662,4419848,2751556,4340420,2696564,3242037,4340420,5782134,1759260,1875954,5250955,2168764,20491414,2751556,4087082,4419848,1572605,4457565,7172368,20491414,2164662,3162960,2751556,1400683,1875954,1376101,4340420,2696564,17855988,2164662,13190266,1759260,2696564,1376101,3975430,2751556,20341639,4419848,2567408,4340420,4929060,4030992,1572605,2100364,2168764,1492115
21/Oct/2021:10:00:10,2567408,2164662,8405747,1467204,1467204,2168764,2936356,4030992,4340420,8397555,1488090,1492115,8405747,1875954,8405747,2567408,17882193,2168764,19155668,6968607,3162755,8405747,8405747,2751556,4419848,2696564,4215517,2751556,2164662,4929060,2168764,2567408,1400683,4087082,4087082,4030992,2567408,1759260,2164491,2936356,1495670,4215920,3852726,4340420,2100364,4929060,1875954,2751556,3975430,4457565
21/Oct/2021:10:00:15,20341639,8405747,8405747,17868353,1400683,3865724,20329274,8405747,3176600,2712735,4116191,1400683,3852726,2751556,8405747,13057514,17864257,2696564,17711824,2936356,3162755,4929060,2718555,1467204,2100364,1400683,8405747,2164662,2469227,3857782,2479295,4030992,9063384,2696564,1400683,3162755,2164662,17711824,1400683,1400683,20341639,17855988,1572605,3189505,6011889,1492115,17882561,2718555,4929060,4419848
21/Oct/2021:10:00:20,3852726,20345735,4929060,4929060,17855988,1759260,2799885,8405747,1467204,1400683,3857782,3899082,2567408,2141466,1875954,4419848,5163385,2696564,4419848,1875723,19155668,30130882,4929060,4087082,1467204,7015245,1572605,1572605,17882193,3865724,8405747,2936356,3901167,1400683,20341639,4929060,2567408,1492115,2798429,1400683,13190266,8405747,17942061,4030992,3241845,13190266,1572605,7172368,8405747,4457565
21/Oct/2021:10:00:25,3975430,17864257,3189505,30130882,30130882,5250955,3242037,2567408,1875954,4929060,2936356,4929060,2567408,2164491,13057514,2439635,2567408,13092463,1875954,2751556,1400683,4087082,5250955,17711824,1536185,4929060,2567408,30130882,19159764,4929060,2936356,1400683,1875954,3852726,4030992,4929060,2751556,2696564,3189505,1875954,2751556,3241869,3975430,1875954,3189505,4030992,2696564,3162755,3857782,2718555
21/Oct/2021:10:00:30,8397555,1486263,1492115,3865724,1400683,5250955,1572605,7172368,8405747,1400683,3162755,1400683,4030992,8405747,17855988,4030992,2936356,1400683,1875954,8405747,1400683,1395728,2168764,2696564,5040266,30130882,8405747,2751556,3865724,3162755,3189505,2751556,4030992,8405747,3852726,20345735,1400683,4340420,17882193,3975430,1572605,2164662,2696564,2567408,2751556,20341639,2696564,8405747,4030992,1875954
21/Oct/2021:10:00:35,1376101,1875954,8405747,4030992,1467204,17855988,4387130,20505781,1400683,20341639,4929060,1492115,1572605,4929060,4387130,1875954,2567408,2089950,1572605,1492115,2164662,1875954,30130882,2100364,1492115,3985247,5163385,1400683,5164623,5040266,2567408,2168764,1400683,1492115,2751556,1400683,2567408,1467204,3852726,8405747,4813619,2164662,1376101,1875954,8405747,4030992,1400683,1376101,2164662,3901167
21/Oct/2021:10:00:40,4538968,2751556,2168764,3162755,1875954,7439763,2751556,3975430,4087082,8405747,2164662,20341639,20341639,3672129,2751556,2567408,3189505,4929060,13190266,1875954,1400683,3189505,2718659,4929060,2696564,2696564,8405747,1495670,4538968,13057514,2936356,17711824,3162755,4087082,1400683,2567408,2147571,8397555,2696564,1395728,2936356,1875954,17942061,4457565,3852726,17855988,2168764,3899082,1492115,2936356
21/Oct/2021:10:00:45,2936356,2567408,8405747,3228607,1395728,1536185,4929060,1875954,2696564,5164623,4444760,1572605,1875954,3189505,6959932,4262063,17882193,8405747,17956901,3241845,8405747,8405747,4457565,2197430,3186708,1467204,8405747,13190266,2751556,20337543,3852726,2168764,20345735,2696564,3901167,13057514,4929060,8405747,2751556,1400683,4087082,3189505,4457565,1376101,1572605,1400683,4538968,4538968,4929060,6968607
21/Oct/2021:10:00:50,1875954,1875954,1492115,8405747,1536185,2696564,3162755,1488090,4929060,3189505,3189505,1400683,1875954,1400683,2168764,2168764,4074296,1400683,1572605,2936356,2405991,1875954,3162755,8405747,4419848,2936356,1875954,4929060,1875954,4473364,17855988,3865724,2567408,8405747,5040266,1492115,4087082,13190266,2696564,2751556,2567408,1400683,2567408,4074296,2147571,1400683,4538968,8405747,2696564,1875954
21/Oct/2021:10:00:55,2936356,2164662,4030992,4387130,5164623,1400683,2696564,2164662,3975430,8405747,8405747,4457565,2696564,4929060,4538968,1376101,4030992,13057514,20341639,1572605,2936356,2696564,8405747,17855988,4929060,1467204,3672129,3162755,4087082,1400683,2164662,3865724,1875954,3189505,1488090,1491819,17855988,1400683,1400683,2168764,4340420,3852726,4087082,2168764,1492115,4538968,2164662,4457565,1492115,1488090
21/Oct/2021:10:01:00,8405747,8405747,4340420,2936356,3926802,4929060,3162755,2696564,2168764,1875954,1875954,1400683,4340420,1400683,13091891,1875954,4340420,2168764,2168764,2696564,3857782,2737574,1875954,13091891,5250955,4030992,2696564,4030992,3189505,4030992,2936356,1875954,2567408,4929060,1388689,2696564,2751556,1488090,1875954,2751556,1400683,20341639,1875954,4030992,1400683,2164662,4213436,13091891,3852726,8405747
21/Oct/2021:10:01:05,3852726,2164662,3899082,3162755,2696564,1400683,4929060,1875954,3865724,1400683,8405747,4929060,2696564,3189505,4457565,17882193,1492115,7172368,1400683,4340420,4030992,2454558,2751556,2718555,4929060,1492115,13057514,2430078,4419848,2696564,2168764,1400683,2100364,1495670,1875954,8405747,1400683,2936356,4929060,13091891,1875954,4929060,2751556,1875954,2168764,3241845,1572605,2567408,2696564,2751556
